ctuniq,boroCT2000,ctrdlong,ctrdlat,popdens,povrate,unemp,busdens,subdens,subacc,intdens,landind,nonres,resid,ptrans,pwalk,propoa,propnonw,borocodenum,precpop,precinct,offpcap
MN003100,1003100,-74.003274,40.716816,8209.264671,0.139966273,0.584179971,19.7456757,69.10986494,1,157.9654056,0.179607904,0.952877493,0.047122507,0.62745098,0.221568628,0.025255562,0.503908599,1,1726,5,0.027497567
MN002700,1002700,-73.998341,40.71298,25597.86684,0.268229167,0.068006182,83.32638947,0,0,183.3180568,0.998897768,0.483400061,0.516599939,0.514834206,0.403141361,0.293619792,0.805338542,1,1517,5,0.027497567
MN004100,1004100,-73.996639,40.720249,46121.71522,0.314582587,0.060519419,10.57473695,5.287368477,1,132.1842119,0.90704518,0.652442465,0.347557535,0.435787211,0.420472864,0.195574917,0.806373954,1,8957,5,0.027497567
MN001800,1001800,-73.990641,40.719241,48312.37276,0.315167044,0.140699816,61.83527084,47.56559295,1,161.723016,0.90493129,0.654166071,0.345833929,0.423747517,0.417567866,0.111253323,0.860588757,1,10157,5,0.027497567
MN007300,1007300,-74.003534,40.734327,40160.18512,0.046445639,0.026300634,71.939427,29.97476125,1,149.8738063,0.816886736,0.286041322,0.713958678,0.601782459,0.232124772,0.111061352,0.115390357,1,6699,6,0.037438439
MN006100,1006100,-73.991764,40.734504,36655.64818,0.084763391,0.043047222,35.9298649,28.74389192,1,86.23167577,0.807129776,0.719584963,0.280415037,0.498411782,0.330060641,0.058615958,0.176239953,1,5101,6,0.037438439
MN006700,1006700,-74.00436,40.731061,34118.86299,0.085359361,0.03701016,30.2204278,18.13225668,1,193.4107379,0.974702032,0.420473326,0.579526674,0.629401182,0.21999486,0.102391497,0.128077945,1,5645,6,0.037438439
MN007900,1007900,-74.007121,40.739627,25177.27584,0.06365083,0.055010407,38.32991102,0,0,219.028063,0.999228377,0.513889053,0.486110947,0.586683821,0.176584111,0.123749456,0.113962592,1,4598,6,0.037438439
MN007500,1007500,-74.007633,40.735084,32341.22516,0.075630252,0.034848988,46.59000023,0,0,163.0650008,0.879607406,0.32651182,0.67348818,0.5786497,0.215977377,0.061464586,0.103961585,1,4165,6,0.037438439
MN007100,1007100,-74.000745,40.735405,34839.53357,0.083985765,0.047368421,24.79682105,37.19523157,1,161.1793368,0.988125796,0.554484411,0.445515589,0.642655004,0.227424749,0.142170819,0.120818505,1,5620,6,0.037438439
MN006900,1006900,-74.008457,40.731278,18226.48448,0.045259648,0.02946376,15.25867265,0,0,152.5867265,0.558914266,0.832071428,0.167928572,0.610668302,0.189454323,0.027626622,0.159480954,1,2341,6,0.037438439
MN005900,1005900,-73.994763,40.731574,47643.84497,0.070018699,0.059669686,34.14717432,17.07358716,1,128.0519037,0.99318054,0.45870999,0.54129001,0.486720554,0.322170901,0.151227379,0.15355671,1,5581,6,0.037438439
MN006500,1006500,-74.000184,40.730141,33540.89583,0.116890278,0.112436116,20.05434728,5.01358682,1,100.2717364,0.979971629,0.570760814,0.429239186,0.545141451,0.328905289,0.093721973,0.182511211,1,6690,6,0.037438439
MN006300,1006300,-73.996844,40.734989,35765.46078,0.060699756,0.034683374,68.50527205,22.83509068,1,39.9614087,0.997986739,0.477565311,0.522434689,0.60713442,0.215450035,0.16217079,0.088427773,1,6265,6,0.037438439
MN005501,1005501,-73.996562,40.728353,40345.98719,0.113120074,0.017793594,49.33277423,0,0,115.1098065,0.998208986,0.478839811,0.52116019,0.411705007,0.460419486,0.119013654,0.213776238,1,4907,6,0.037438439
MN007700,1007700,-74.003853,40.738734,36292.34648,0.073055646,0.054603854,35.43021134,29.52517612,1,135.8158101,0.971555394,0.415672356,0.584327644,0.600183402,0.233837689,0.116173121,0.113895216,1,6146,6,0.037438439
MN001001,1001001,-73.97803,40.715801,22610.30374,0.118055556,0,69.78488808,0,0,174.4622202,0.229608198,0.06114017,0.93885983,0.543209877,0.08994709,0.340277778,0.19058642,1,1361,7,0.019448373
MN001200,1001200,-73.982156,40.717064,26973.60229,0.241197183,0.078500707,23.34703026,0,0,225.6879592,0.830420739,0.294099987,0.705900013,0.463054187,0.197044335,0.26457011,0.396133872,1,3466,7,0.019448373
MN000202,1000202,-73.982371,40.712974,14403.66064,0.280680977,0.171439197,25.28066808,0,0,61.09494787,0.936969026,0.374470149,0.625529851,0.525392428,0.209602955,0.201842914,0.522158842,1,6837,7,0.019448373
MN001401,1001401,-73.985965,40.71556,31158.61227,0.065034965,0.037749288,42.07780186,10.51945046,1,84.15560371,0.470779098,0.136262147,0.863737853,0.6040571,0.208865515,0.311613775,0.149898717,1,2962,7,0.019448373
MN000201,1000201,-73.986096,40.712861,51062.98126,0.304518072,0.125178827,30.67766972,0,0,76.69417431,0.981991277,0.432901709,0.567098291,0.538075314,0.249372385,0.106939021,0.785821568,1,3329,7,0.019448373
MN002201,1002201,-73.982188,40.720638,43799.38396,0.282984253,0.092682927,13.39225927,0,0,100.4419446,0.872343993,0.321355096,0.678644904,0.58714044,0.262690355,0.125974622,0.707384192,1,6646,7,0.019448373
MN000600,1000600,-73.989371,40.713587,63579.86327,0.342547877,0.113455414,67.32960431,15.53760099,1,98.4048063,0.940208367,0.377738362,0.622261638,0.538019757,0.310130944,0.169436299,0.866813294,1,12276,7,0.019448373
MN001002,1001002,-73.976319,40.719003,45041.00719,0.397734232,0.281391831,60.20630695,0,0,127.1022036,0.291378432,0.079101684,0.920898316,0.543948127,0.308357349,0.128323184,0.727461756,1,6733,7,0.019448373
MN003001,1003001,-73.987203,40.722125,37963.82846,0.228992073,0.076374019,34.30208128,0,0,128.6328048,0.992872249,0.542213005,0.457786995,0.534956795,0.285153182,0.060989383,0.555906935,1,4275,7,0.019448373
MN001402,1001402,-73.985797,40.717531,27421.77211,0.33189798,0.067392784,9.083064626,9.083064626,1,190.7443572,0.989788605,0.449474276,0.550525725,0.545523521,0.34370258,0.170255051,0.699238158,1,3019,7,0.019448373
MN004200,1004200,-73.989613,40.731861,49341.77215,0.090075336,0.047635976,126.5822785,25.3164557,1,164.556962,0.922316231,0.360640959,0.639359041,0.654169855,0.241009946,0.054643407,0.295792714,1,3664,9,0.029335479
MN004000,1004000,-73.987146,40.73145,49629.35042,0.136073803,0.06415397,45.68870004,11.42217501,1,62.82196256,0.999046961,0.515435664,0.484564336,0.572819034,0.282984859,0.051898734,0.267663982,1,8690,9,0.029335479
MN003200,1003200,-73.983143,40.725147,36756.6477,0.13314411,0.052358114,45.85410142,0,0,68.78115213,0.809725678,0.281897775,0.718102225,0.584901625,0.211291702,0.18250998,0.244760479,1,8016,9,0.029335479
MN002400,1002400,-73.972849,40.725667,20713.0986,0.426705091,0.18319107,7.933013633,0,0,35.69856135,0.089154184,0.022808787,0.977191213,0.590351594,0.187244481,0.09306779,0.693603983,1,5080,9,0.029335479
MN002602,1002602,-73.977624,40.724382,36637.5969,0.268976461,0.060711188,29.06976744,0,0,77.51937985,0.950950265,0.389264126,0.610735874,0.551498127,0.16994382,0.052896059,0.451467866,1,3718,9,0.029335479
MN002000,1002000,-73.975021,40.720501,58487.72933,0.521730695,0.231563422,22.60832212,0,0,203.4748991,0.491764808,0.143546921,0.85645308,0.618627451,0.211764706,0.109393119,0.706030151,1,5174,9,0.029335479
MN003400,1003400,-73.982355,40.730324,41656.3494,0.232859979,0.035160768,57.14176873,12.69817083,1,57.14176873,0.929198942,0.366957659,0.633042341,0.534215784,0.252997003,0.052735863,0.326169791,1,6561,9,0.029335479
MN005700,1005700,-73.99205,40.730763,24053.61314,0.07283237,0.023282226,74.15372066,74.15372066,1,120.4997961,0.761771885,0.744043088,0.255956912,0.595478882,0.209399167,0.157996146,0.087861272,1,2535,9,0.029335479
MN003002,1003002,-73.987267,40.723591,36974.4523,0.218600192,0.018644068,82.71689552,0,0,106.3502942,0.780438816,0.265713219,0.734286781,0.668411867,0.189645143,0.147970598,0.338127197,1,3281,9,0.029335479
MN002800,1002800,-73.976341,40.726981,37634.68113,0.280114148,0.090386458,61.95472799,0,0,84.48371999,0.713419005,0.232333699,0.767666301,0.607850198,0.170327692,0.094732116,0.568243041,1,6701,9,0.029335479
MN003800,1003800,-73.989167,40.728501,45775.89696,0.178479164,0.046648181,29.97766664,0,0,94.92927769,0.998364337,0.520221664,0.479778336,0.577437859,0.269772293,0.089281816,0.288364986,1,9162,9,0.029335479
MN005502,1005502,-73.994568,40.727139,18932.82939,0.123275069,0.052434457,43.54376584,60.96127218,1,174.1750634,0.84808482,0.69488149,0.30511851,0.599472991,0.194334651,0.051517939,0.213431463,1,2187,9,0.029335479
MN003602,1003602,-73.991055,40.72531,26216.29857,0.370641412,0.183728814,33.85660599,22.57107066,1,124.1408886,0.955803976,0.605114253,0.394885748,0.545219638,0.262704565,0.061988808,0.42057684,1,2372,9,0.029335479
MN002202,1002202,-73.980287,40.72093,23576.4902,0.27864215,0.165813716,50.02084202,0,0,133.3889121,0.827252803,0.292185662,0.707814338,0.597964377,0.211195929,0.04738331,0.357142857,1,1556,9,0.029335479
MN002601,1002601,-73.9789,40.722584,33427.06019,0.294637596,0.129913391,49.15744145,0,0,49.15744145,0.936053245,0.373561522,0.626438478,0.610764431,0.258190328,0.058235294,0.637941177,1,3400,9,0.029335479
MN009900,1009900,-74.003576,40.751239,1498.941885,0.146341463,0.043478261,16.92983884,0,0,83.34689891,0.130399558,0.966261848,0.033738152,0.529545455,0.213636364,0.019113814,0.433536056,1,1155,10,0.037582666
