"","ctuniq","lot","bldgclass","borocode","borough","id","x","y"
"12144","BX020800",56,"K1",2,"BX","12144",-73.8524625840506,40.8357116869043
"12145","BX020800",58,"K1",2,"BX","12145",-73.8524269026243,40.8355057876445
"12146","BX020800",64,"K1",2,"BX","12146",-73.852351628198,40.8352284750975
"12147","BX020800",70,"K1",2,"BX","12147",-73.8522075039107,40.8350361604491
"12148","BX020800",75,"K2",2,"BX","12148",-73.8522911689717,40.8347892432687
"12149","BX021602",23,"P5",2,"BX","12149",-73.8622929889126,40.8353093912998
"12150","BX021602",32,"M1",2,"BX","12150",-73.8623267397567,40.8347165732453
"12151","BX021602",42,"K1",2,"BX","12151",-73.862735229415,40.8346511869858
"12152","BX021602",75,"K4",2,"BX","12152",-73.8631082574041,40.8377696254254
"12153","BX021602",125,"K1",2,"BX","12153",-73.863639550267,40.839510402706
"12154","BX021000",20,"K1",2,"BX","12154",-73.8554573657988,40.8362040381709
"12155","BX020602",1,"K1",2,"BX","12155",-73.8548897130751,40.8363323269441
"12156","BX020602",51,"K4",2,"BX","12156",-73.8543838719819,40.8362877739763
"12157","BX020602",54,"K2",2,"BX","12157",-73.8546764427193,40.8363567608479
"12158","BX020602",1,"K1",2,"BX","12158",-73.8529992153491,40.8365385311965
"12159","BX021602",1,"K1",2,"BX","12159",-73.8639481548295,40.8405866942968
"12160","BX021602",7,"K2",2,"BX","12160",-73.8637233797445,40.8409295179236
"12161","BX021602",17,"K2",2,"BX","12161",-73.8636008946963,40.8407372433189
"12162","BX021602",23,"K1",2,"BX","12162",-73.8635220888491,40.8403940611099
"12163","BX020602",157,"K2",2,"BX","12163",-73.8531860592101,40.8403017713247
"12164","BX020601",1,"K2",2,"BX","12164",-73.8514929767497,40.8345878540309
"12165","BX020601",18,"K1",2,"BX","12165",-73.8516935353154,40.8354005477817
"12166","BX020601",57,"K2",2,"BX","12166",-73.8506363288275,40.8346718339675
"12167","BX020601",64,"K1",2,"BX","12167",-73.8509761132443,40.8346311027818
"12168","BX020601",66,"K1",2,"BX","12168",-73.8511426771087,40.8344831032536
"12169","BX020601",71,"K2",2,"BX","12169",-73.8513195539232,40.8345711623016
"12170","BX020601",2,"K2",2,"BX","12170",-73.851891401486,40.8358015304115
"12171","BX020601",4,"K2",2,"BX","12171",-73.8519237241674,40.8358921475003
"12172","BX020601",1,"K1",2,"BX","12172",-73.8520417164721,40.8364604548417
"12173","BX020601",3,"K2",2,"BX","12173",-73.8520667753623,40.8365675308473
"12174","BX020601",5,"K1",2,"BX","12174",-73.8521168872838,40.8367844275428
"12175","BX020601",13,"K1",2,"BX","12175",-73.848140055815,40.83588997236
"12176","BX020200",1,"K1",2,"BX","12176",-73.8471079746325,40.8368218118223
"12177","BX020200",8,"K1",2,"BX","12177",-73.8474483386128,40.8365340674836
"12178","BX020200",12,"M1",2,"BX","12178",-73.8493966042263,40.8379556451909
"12179","BX020200",46,"M1",2,"BX","12179",-73.8503385173489,40.8385442399794
"12180","BX020200",1,"K1",2,"BX","12180",-73.8468254803251,40.8370876743003
"12181","BX020200",3,"K1",2,"BX","12181",-73.8467096085706,40.8371863300753
"12182","BX020200",38,"K2",2,"BX","12182",-73.845996593516,40.8376519816586
"12183","BX020200",40,"K1",2,"BX","12183",-73.8462246440465,40.8374903477961
"12184","BX020200",44,"K1",2,"BX","12184",-73.8463297894833,40.8373422733635
"12185","BX020200",45,"K1",2,"BX","12185",-73.8465609266156,40.837408454232
"12186","BX020200",46,"K1",2,"BX","12186",-73.8464601112828,40.8372463819232
"12187","BX020200",47,"K1",2,"BX","12187",-73.8466840330821,40.8373070635122
