"","CTLabel","BoroCode","BoroName","CT2000","BoroCT2000","CDEligibil","NTACode","NTANAme","PUMA","Shape_Leng","Shape_Area","id","Name","popdens","povrate","unemp","busdens","subdens","subacc","intdens","landind","nonres","resid","ptrans","pwalk","propoa","propnonw","offpcap","avg_er_charges_tot","avg_charges_tot","avgChronCond","ctrdlong","ctrdlat"
"17","96","1","Manhattan","009600","1009600","I","MN17","Midtown-Midtown South","3807",5737.35624626,1887288.44753,"16",NA,971.3902445,0.095238095,0.04964539,92.51335662,40.47459352,1,57.82084789,0.02659619,0.993306145,0.006693855,0.373134328,0.582089552,0.136904762,0.422619048,0.093729627,3163.73941176471,51028.0941025641,6.4,-73.98102,40.75653
"18","98","1","Manhattan","009800","1009800","I","MN19","Turtle Bay-East Midtown","3808",5534.19974114,1906016.39423,"17",NA,40213.53123,0.079960374,0.031694819,51.22017847,17.07339283,1,56.91130942,0.945445625,0.61678439,0.38321561,0.402747362,0.472028668,0.128502689,0.14633456,0.025786108,2424.24157657658,48320.4264047936,5.11026615969582,-73.969112,40.756517
"19","100","1","Manhattan","010000","1010000","I","MN19","Turtle Bay-East Midtown","3808",5692.16841652,1860938.33723,"18",NA,10758.38989,0.042951542,0.010736196,47.13423831,70.70135747,1,117.8355958,0.146344688,0.961967345,0.038032655,0.482170543,0.442635659,0.156626506,0.103504929,0.025786108,2100.00247524752,60709.7374592834,5.44036697247706,-73.970613,40.757941
"20","14.01","1","Manhattan","001401","1001401","I","MN28","Lower East Side","3809",5075.33273216,1006079.60037,"19",NA,31158.61227,0.065034965,0.037749288,42.07780186,10.51945046,1,84.15560371,0.470779098,0.136262147,0.863737853,0.6040571,0.208865515,0.311613775,0.149898717,0.019448373,1546.83245487365,60936.0548157895,6.13186813186813,-73.985965,40.71556
"21","18","1","Manhattan","001800","1001800","E","MN27","Chinatown","3809",7390.95621841,2289355.04924,"20",NA,48312.37276,0.315167044,0.140699816,61.83527084,47.56559295,1,161.723016,0.90493129,0.654166071,0.345833929,0.423747517,0.417567866,0.111253323,0.860588757,0.027497567,1350.07246835443,32440.6720805369,5.03787878787879,-73.990641,40.719241
"22","22.01","1","Manhattan","002201","1002201","E","MN28","Lower East Side","3809",5779.03963095,1740071.62416,"21",NA,43799.38396,0.282984253,0.092682927,13.39225927,0,0,100.4419446,0.872343993,0.321355096,0.678644904,0.58714044,0.262690355,0.125974622,0.707384192,0.019448373,1422.43521929825,48510.5770386905,4.94514767932489,-73.982188,40.720638
"23","22.02","1","Manhattan","002202","1002202","E","MN28","Lower East Side","3809",3817.39140002,603922.239375,"22",NA,23576.4902,0.27864215,0.165813716,50.02084202,0,0,133.3889121,0.827252803,0.292185662,0.707814338,0.597964377,0.211195929,0.04738331,0.357142857,0.029335479,1239.02470588235,28960.2161616162,5.3030303030303,-73.980287,40.72093
"24","190","1","Manhattan","019000","1019000","E","MN11","Central Harlem South","3803",4231.82666015,1117371.68391,"23",NA,18819.3802,0.385635359,0.149765991,48.18069689,19.27227875,1,67.45297564,0.784372705,0.267821569,0.732178431,0.760456274,0.121673004,0.144393241,0.91858679,0.030633397,2034.48240384615,59114.8913709677,5.47777777777778,-73.947888,40.801729
"25","198","1","Manhattan","019800","1019800","E","MN34","East Harlem North","3804",6760.37211512,2430787.64006,"24",NA,6901.775945,0.310481213,0.106534091,62.01852582,0,0,93.02778873,0.884457712,0.669957559,0.330042441,0.697986577,0.125838926,0.168806162,0.928754814,0.02171985,2179.41205882353,33169.5103252032,4.72727272727273,-73.941073,40.803826
"26","199","1","Manhattan","019900","1019900","I","MN09","Morningside Heights","3802",5019.31143537,1503140.47989,"25",NA,64670.85441,0.136496157,0.067444327,56.84725144,14.21181286,1,78.16497072,0.977095671,0.424329119,0.575670881,0.536980512,0.293261329,0.112844742,0.294363257,0.022033009,1502.71298882682,54209.9609888889,5.50479233226837,-73.964622,40.804618
"27","200","1","Manhattan","020000","1020000","E","MN11","Central Harlem South","3803",6754.28646868,1391427.81634,"26",NA,18282.75986,0.293889845,0.038338658,70.07872176,15.57304928,1,77.86524641,0.998025228,0.522219206,0.477780794,0.746575343,0.114155251,0.122231687,0.953577513,0.030633397,1394.7146875,67041.7514388489,5.72,-73.945873,40.805849
"28","201.01","1","Manhattan","020101","1020101","I","MN09","Morningside Heights","3802",3329.88157974,593526.66003,"27",NA,43011.14696,0.163487738,0.57115629,36.66764447,0,0,91.66911118,0.52797677,0.843519734,0.156480266,0.269461078,0.634730539,0.041773231,0.405797101,0.022033009,1564.79875,35583.4429577465,5.56,-73.960513,40.806155
"29","201.02","1","Manhattan","020102","1020102","E","MN11","Central Harlem South","3803",3745.87093756,897067.891463,"28",NA,42885.44732,0.333149019,0.167302799,58.61870875,23.4474835,1,93.789934,0.305118339,0.083202189,0.916797811,0.741732284,0.128346457,0.08693275,0.921541826,0.030633397,1697.1592,69069.1929834254,5.0625,-73.956411,40.804399
"30","205","1","Manhattan","020500","1020500","I","MN09","Morningside Heights","3802",5562.1731284,1335915.45325,"29",NA,41386.09427,0.07998578,0.18674164,63.97850322,15.99462581,1,143.9516323,0.862391259,0.685478261,0.314521739,0.41809382,0.432241251,0.090241546,0.287922705,0.022033009,1346.08272727273,37815.872975,5.05839416058394,-73.963498,40.809519
"31","206","1","Manhattan","020600","1020600","E","MN03","Central Harlem North-Polo Grounds","3803",5176.87315098,1602693.82096,"30",NA,16020.88972,0.276923077,0.251223491,13.60007616,0,0,95.20053312,0.999345685,0.512789789,0.487210212,0.648275862,0.183908046,0.080220713,0.918930391,0.02171985,1581.76928571429,83034.3774257426,5.34285714285714,-73.939383,40.80897
"32","207.02","1","Manhattan","020702","1020702","E","MN11","Central Harlem South","3803",3893.1988266,942328.191212,"31",NA,21957.89381,0.310674723,0.176319176,66.20470495,0,0,121.3752924,0.831123504,0.294527072,0.705472928,0.696308725,0.043624161,0.093969849,0.933668342,0.030633397,1079.58303030303,25529.590625,3.48148148148148,-73.95451,40.80703
"33","209.02","1","Manhattan","020902","1020902","E","MN11","Central Harlem South","3803",3965.22365437,608261.974077,"32",NA,16224.67612,0.504928806,0.135057471,104.3387532,52.16937658,1,86.94896096,0.90124419,0.657127186,0.342872814,0.813953488,0.093023256,0.15755627,0.942122187,0.030633397,1640.92090909091,52951.0875510204,5.52941176470588,-73.953255,40.809637
"34","213.01","1","Manhattan","021301","1021301","E","MN06","Manhattanville","3802",4585.33815558,1194401.70645,"33",NA,40609.45385,0.350664224,0.278996865,53.49214557,17.83071519,1,62.40750317,0.984804997,0.438365993,0.561634007,0.727135299,0.164777022,0.070032931,0.913062569,0.022033009,2183.27546666667,80527.8820606061,5.13559322033898,-73.952539,40.812931
"35","213.02","1","Manhattan","021302","1021302","E","MN03","Central Harlem North-Polo Grounds","3803",2357.14089527,303471.679226,"34",NA,8815.347375,0.479508197,0,72.2569457,36.12847285,1,108.3854186,0.992706785,0.45729984,0.54270016,1,0,0.131147541,1,0.025064248,NA,NA,NA,-73.95062,40.812053
"36","217.02","1","Manhattan","021702","1021702","E","MN03","Central Harlem North-Polo Grounds","3803",3338.2908095,446993.877023,"35",NA,63005.83475,0.384938838,0.11814346,94.10878976,0,0,117.6359872,0.502459759,0.147317338,0.852682662,0.68,0.104516129,0.080283794,0.98132935,0.025064248,1499.15145833333,26186.6858035714,4.41025641025641,-73.948711,40.81457
"37","218","1","Manhattan","021800","1021800","E","MN11","Central Harlem South","3803",5775.54638766,1958240.25376,"36",NA,27772.08955,0.312699681,0.210080075,44.27594986,22.13797493,1,116.2243684,0.933053369,0.370629765,0.629370235,0.678818353,0.081709617,0.102431248,0.952371463,0.030633397,2092.56430769231,57468.4809090909,5.24299065420561,-73.952477,40.803848
"38","219","1","Manhattan","021900","1021900","E","MN06","Manhattanville","3802",6955.71118928,2577682.26719,"37",NA,26862.56305,0.395432504,0.229516052,79.46266509,0,0,112.9206293,0.900846264,0.657443431,0.342556569,0.682337992,0.141677255,0.094037054,0.834968084,0.022033009,1298.04737804878,52411.3448395722,4.77099236641221,-73.957057,40.81584
"39","220","1","Manhattan","022000","1022000","E","MN11","Central Harlem South","3803",5691.51396322,1882933.02396,"38",NA,28601.74274,0.296548957,0.149880668,45.14876518,0,0,90.29753036,0.783004811,0.267086288,0.732913712,0.724460012,0.115002919,0.081886346,0.932320442,0.030633397,1202.60887323944,39950.362,4.86363636363636,-73.951936,40.805961
"40","222","1","Manhattan","022200","1022200","E","MN11","Central Harlem South","3803",5772.83196595,1953121.53368,"39",NA,12705.59996,0.400642497,0.200708383,76.37543984,10.91077712,1,70.92005128,0.677328226,0.784021027,0.215978973,0.592823713,0.227769111,0.095749249,0.903392014,0.030633397,1593.81292682927,44325.3232558139,4.90322580645161,-73.947683,40.807421
"41","224","1","Manhattan","022400","1022400","E","MN03","Central Harlem North-Polo Grounds","3803",6182.38908682,2099456.11331,"40",NA,32011.17376,0.491242297,0.192759296,41.23158752,0,0,92.77107192,0.804752879,0.279066118,0.720933882,0.625925926,0.125925926,0.113669296,0.954757688,0.025064248,1697.76214285714,50006.9113802817,5.03225806451613,-73.945807,40.810007
"42","227.02","1","Manhattan","022702","1022702","E","MN03","Central Harlem North-Polo Grounds","3803",2880.33451828,398655.377578,"41",NA,25932.55334,0.550802139,0.323033708,55.05849966,0,0,82.58774948,0.832744369,0.295515507,0.704484493,0.746781116,0.13304721,0.039278132,0.887473461,0.025064248,1520.1462962963,37424.3278723404,4.375,-73.943244,40.822107
"43","229","1","Manhattan","022900","1022900","E","MN04","Hamilton Heights","3802",5014.76242153,1511482.8252,"42",NA,63401.13424,0.391353941,0.228355607,100.3749722,21.50892262,1,93.20533135,0.723183538,0.236933249,0.763066751,0.683051514,0.123869446,0.084360511,0.836367749,0.023732557,1651.49004739337,58242.2299814126,5.08021390374332,-73.949838,40.824942
"44","231.02","1","Manhattan","023102","1023102","E","MN03","Central Harlem North-Polo Grounds","3803",3267.74084903,413467.587053,"43",NA,24992.24646,0.527748691,0.2,51.69027189,0,0,129.2256797,0.569964725,0.172114626,0.827885374,0.447916667,0.041666667,0.067218201,0.852119959,0.025064248,NA,NA,NA,-73.941257,40.824685
"45","234","1","Manhattan","023400","1023400","E","MN03","Central Harlem North-Polo Grounds","3803",5656.09230552,1164817.10318,"44",NA,31677.77605,0.343270622,0.246781116,36.67470454,0,0,64.18073294,0.86300615,0.314936599,0.685063401,0.684710351,0.130104463,0.087409551,0.949638206,0.025064248,1562.44163265306,44802.686754386,4.58974358974359,-73.93889,40.824482
"46","239","1","Manhattan","023900","1023900","E","MN36","Washington Heights South","3801",3635.96211695,687269.091971,"45",NA,42075.40665,0.413166856,0.176165803,156.7054251,62.68217006,1,78.35271257,0.785330686,0.2683379,0.7316621,0.685714286,0.103401361,0.147858473,0.886405959,0.015278491,1704.40901960784,52839.4066527197,5.42682926829268,-73.940375,40.832603
"47","241","1","Manhattan","024100","1024100","E","MN36","Washington Heights South","3801",5854.27624706,1621575.26369,"46",NA,56041.99603,0.27048577,0.129391602,81.07341198,27.02447066,1,101.341765,0.560659923,0.168586332,0.831413668,0.621839888,0.067064607,0.160337553,0.818203737,0.015278491,1658.79005464481,50247.126902834,4.72727272727273,-73.945136,40.833911
"48","249","1","Manhattan","024900","1024900","E","MN36","Washington Heights South","3801",3927.82152005,652856.31124,"47",NA,19115.98777,0.55774166,0.25,32.70485504,0,0,114.4669926,0.857361126,0.68883781,0.31116219,0.471947195,0.198019802,0.084687767,0.834901625,0.015278491,3367.78785714286,106189.356363636,5.8,-73.936703,40.839335
"49","253","1","Manhattan","025300","1025300","E","MN36","Washington Heights South","3801",5651.3175931,1822960.39782,"48",NA,73851.23201,0.297868994,0.124691358,63.69980021,17.37267279,1,104.2360367,0.519580411,0.153438466,0.846561535,0.554347826,0.180088933,0.082804046,0.773778719,0.015278491,1827.7431025641,38475.3298880597,5.27393617021277,-73.93794,40.842367
