"","precinct","NTANAme"
"174",79,"Clinton Hill"
"175",79,"Bedford"
"176",79,"Crown Heights North"
"177",79,"Stuyvesant Heights"
"178",79,"Bushwick South"
"179",81,"Crown Heights North"
"180",81,"Stuyvesant Heights"
"181",83,"Bushwick South"
"182",83,"park-cemetery-etc-Brooklyn"
"183",83,"Bushwick North"
"184",84,"Brooklyn Heights-Cobble Hill"
"185",84,"DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"186",88,"Fort Greene"
"187",88,"park-cemetery-etc-Brooklyn"
"188",88,"Clinton Hill"
"189",90,"Bushwick North"
"190",90,"East Williamsburg"
"191",90,"Bushwick South"
"192",90,"Bedford"
"193",90,"Williamsburg"
"194",90,"North Side-South Side"
"195",94,"East Williamsburg"
"196",94,"Greenpoint"
"197",94,"North Side-South Side"
"198",100,"park-cemetery-etc-Queens"
"199",100,"Breezy Point-Belle Harbor-Rockaway Park-Broad Channel"
"200",100,"Hammels-Arverne-Edgemere"
"201",101,"Hammels-Arverne-Edgemere"
"202",101,"Far Rockaway-Bayswater"
"203",102,"Woodhaven"
"204",102,"Richmond Hill"
"205",102,"Kew Gardens"
"206",102,"park-cemetery-etc-Queens"
"207",103,"South Jamaica"
"208",103,"Jamaica"
"209",103,"Briarwood-Jamaica Hills"
"210",103,"St. Albans"
"211",103,"Hollis"
"212",104,"Maspeth"
"213",104,"Middle Village"
"214",104,"Ridgewood"
"215",104,"park-cemetery-etc-Queens"
"216",104,"Glendale"
"217",105,"Springfield Gardens South-Brookville"
"218",105,"Laurelton"
"219",105,"Queens Village"
"220",105,"Cambria Heights"
"221",105,"Rosedale"
"222",105,"Bellerose"
"223",105,"Glen Oaks-Floral Park-New Hyde Park"
"224",106,"Ozone Park"
"225",106,"Lindenwood-Howard Beach"
"226",106,"South Ozone Park"
"227",107,"Briarwood-Jamaica Hills"
"228",107,"Kew Gardens"
"229",107,"Jamaica Estates-Holliswood"
"230",107,"Kew Gardens Hills"
"231",107,"park-cemetery-etc-Queens"
"232",107,"Pomonok-Flushing Heights-Hillcrest"
"233",107,"Fresh Meadows-Utopia"
"234",107,"Auburndale"
"235",108,"Hunters Point-Sunnyside-West Maspeth"
"236",108,"park-cemetery-etc-Queens"
"237",108,"Elmhurst-Maspeth"
"238",108,"Woodside"
"239",109,"Flushing"
"240",109,"Queensboro Hill"
"241",109,"East Flushing"
"242",109,"Murray Hill"
"243",109,"College Point"
"244",109,"Whitestone"
"245",109,"Ft. Totten-Bay Terrace-Clearview"
"246",109,"park-cemetery-etc-Queens"
"247",110,"Elmhurst"
"248",110,"park-cemetery-etc-Queens"
"249",110,"Corona"
"250",110,"North Corona"
"251",110,"Elmhurst-Maspeth"
"252",111,"Bayside-Bayside Hills"
"253",111,"Auburndale"
"254",111,"Oakland Gardens"
"255",111,"park-cemetery-etc-Queens"
"256",111,"Douglas Manor-Douglaston-Little Neck"
"257",112,"Forest Hills"
"258",112,"Rego Park"
"259",113,"Baisley Park"
"260",113,"South Jamaica"
"261",113,"St. Albans"
"262",113,"Springfield Gardens North"
"263",113,"Hollis"
"264",113,"Queens Village"
"265",113,"Airport"
"266",114,"Lenox Hill-Roosevelt Island"
"267",114,"Rikers Island"
"268",114,"Queensbridge-Ravenswood-Long Island City"
"269",114,"Astoria"
"270",114,"Steinway"
"271",114,"Old Astoria"
"272",114,"park-cemetery-etc-Queens"
"273",114,"Woodside"
"274",115,"Jackson Heights"
"275",115,"Airport"
"276",115,"East Elmhurst"
"277",115,"North Corona"
"278",120,"West New Brighton-New Brighton-St. George"
"279",120,"Stapleton-Rosebank"
"280",120,"Grymes Hill-Clifton-Fox Hills"
"281",120,"New Brighton-Silver Lake"
"282",120,"Westerleigh"
"283",121,"New Springville-Bloomfield-Travis"
"284",121,"Westerleigh"
"285",121,"Port Richmond"
"286",121,"Mariner's Harbor-Arlington-Port Ivory-Graniteville"
"287",121,"Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill"
"288",122,"Grasmere-Arrochar-Ft. Wadsworth"
"289",122,"Old Town-Dongan Hills-South Beach"
"290",122,"New Dorp-Midland Beach"
"291",122,"Oakwood-Oakwood Beach"
"292",122,"Great Kills"
"293",122,"park-cemetery-etc-Staten Island"
"294",122,"Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill"
"295",122,"New Springville-Bloomfield-Travis"
"296",123,"Annadale-Huguenot-Prince's Bay-Eltingville"
"297",123,"Arden Heights"
"298",123,"Rossville-Woodrow"
"299",123,"Charleston-Richmond Valley-Tottenville"
"300",NA,"park-cemetery-etc-Brooklyn"
"301",NA,"East New York"
"302",NA,"Kew Gardens Hills"
"303",NA,NA
"304",NA,"Breezy Point-Belle Harbor-Rockaway Park-Broad Channel"
"305",NA,"Marble Hill-Inwood"
