"","BoroCT2000","Name","popdens","povrate","unemp","busdens","subdens","subacc","intdens","landind","nonres","resid","ptrans","pwalk","propoa","propnonw","offpcap","avg_er_charges_tot","avg_charges_tot","avgChronCond","ctrdlong","ctrdlat"
"17",1001600,NA,46118.95404,0.277194456,0.087224851,28.8303526,0,0,153.7618805,0.953086047,0.608298146,0.391701855,0.435843794,0.394467689,0.157011878,0.934778079,0.027497567,1197.70252808989,24794.2522382094,5.16937354988399,-73.992755,40.716268
"18",1001800,NA,48312.37276,0.315167044,0.140699816,61.83527084,47.56559295,1,161.723016,0.90493129,0.654166071,0.345833929,0.423747517,0.417567866,0.111253323,0.860588757,0.027497567,1350.07246835443,32440.6720805369,5.03787878787879,-73.990641,40.719241
"19",1002000,NA,58487.72933,0.521730695,0.231563422,22.60832212,0,0,203.4748991,0.491764808,0.143546921,0.85645308,0.618627451,0.211764706,0.109393119,0.706030151,0.029335479,1500.48583333333,70050.1765675676,5.25,-73.975021,40.720501
"20",1002100,NA,10525.30137,0.037379252,0.049170955,108.9402212,92.18018713,1,104.7502126,0.44963982,0.870931321,0.129068679,0.558662614,0.285714286,0.015525478,0.207404459,0.084991718,2146.3376635514,55183.5538888889,5.46666666666667,-74.010457,40.715464
"21",1002201,NA,43799.38396,0.282984253,0.092682927,13.39225927,0,0,100.4419446,0.872343993,0.321355096,0.678644904,0.58714044,0.262690355,0.125974622,0.707384192,0.019448373,1422.43521929825,48510.5770386905,4.94514767932489,-73.982188,40.720638
"22",1002202,NA,23576.4902,0.27864215,0.165813716,50.02084202,0,0,133.3889121,0.827252803,0.292185662,0.707814338,0.597964377,0.211195929,0.04738331,0.357142857,0.029335479,1239.02470588235,28960.2161616162,5.3030303030303,-73.980287,40.72093
"23",1002400,NA,20713.0986,0.426705091,0.18319107,7.933013633,0,0,35.69856135,0.089154184,0.022808787,0.977191213,0.590351594,0.187244481,0.09306779,0.693603983,0.029335479,1624.82175141243,62038.6351515152,4.77333333333333,-73.972849,40.725667
"24",1002500,NA,49424.53484,0.483665185,0.172245892,37.95318475,0,0,123.3478504,0.803637217,0.278435798,0.721564203,0.453373768,0.39651251,0.229986562,0.79976963,0.027497567,1254.49448275862,34233.5392446352,5.73399014778325,-73.999285,40.710907
"25",1002601,NA,33427.06019,0.294637596,0.129913391,49.15744145,0,0,49.15744145,0.936053245,0.373561522,0.626438478,0.610764431,0.258190328,0.058235294,0.637941177,0.029335479,2068.70277777778,66477.7081506849,4.51923076923077,-73.9789,40.722584
"26",1002602,NA,36637.5969,0.268976461,0.060711188,29.06976744,0,0,77.51937985,0.950950265,0.389264126,0.610735874,0.551498127,0.16994382,0.052896059,0.451467866,0.029335479,1221.45843373494,45416.2145360825,5.14179104477612,-73.977624,40.724382
"27",1002700,NA,25597.86684,0.268229167,0.068006182,83.32638947,0,0,183.3180568,0.998897768,0.483400061,0.516599939,0.514834206,0.403141361,0.293619792,0.805338542,0.027497567,1249.66987341772,43105.7727548209,5.288,-73.998341,40.71298
"28",1002800,NA,37634.68113,0.280114148,0.090386458,61.95472799,0,0,84.48371999,0.713419005,0.232333699,0.767666301,0.607850198,0.170327692,0.094732116,0.568243041,0.029335479,1552.13129310345,58423.0916968698,5.44600938967136,-73.976341,40.726981
"29",1002900,NA,24151.90121,0.365336658,0.062956946,19.52457656,6.508192187,1,136.6720359,0.320015577,0.91230584,0.08769416,0.305543037,0.570076611,0.201158717,0.88183778,0.027497567,1253.06752747253,30072.300626935,4.93679458239278,-74.001481,40.712848
"30",1003001,NA,37963.82846,0.228992073,0.076374019,34.30208128,0,0,128.6328048,0.992872249,0.542213005,0.457786995,0.534956795,0.285153182,0.060989383,0.555906935,0.019448373,961.712040816327,38450.9864457831,4.98245614035088,-73.987203,40.722125
"31",1003002,NA,36974.4523,0.218600192,0.018644068,82.71689552,0,0,106.3502942,0.780438816,0.265713219,0.734286781,0.668411867,0.189645143,0.147970598,0.338127197,0.029335479,1526.20032258064,46595.57724,5.28735632183908,-73.987267,40.723591
"32",1003100,NA,8209.264671,0.139966273,0.584179971,19.7456757,69.10986494,1,157.9654056,0.179607904,0.952877493,0.047122507,0.62745098,0.221568628,0.025255562,0.503908599,0.027497567,NA,22043.1608695652,4.72,-74.003274,40.716816
"33",1003200,NA,36756.6477,0.13314411,0.052358114,45.85410142,0,0,68.78115213,0.809725678,0.281897775,0.718102225,0.584901625,0.211291702,0.18250998,0.244760479,0.029335479,1475.3191643454,56915.5209466912,5.90673575129534,-73.983143,40.725147
"34",1003300,NA,10729.37771,0.022659833,0.034421576,83.93632417,31.83791606,1,173.6613604,0.667256799,0.788419487,0.211580513,0.53747646,0.211299435,0.011599676,0.150256272,0.084991718,1865.09136363636,44858.0055294118,5.10169491525424,-74.006405,40.719961
"35",1003400,NA,41656.3494,0.232859979,0.035160768,57.14176873,12.69817083,1,57.14176873,0.929198942,0.366957659,0.633042341,0.534215784,0.252997003,0.052735863,0.326169791,0.029335479,1428.2613592233,44069.3381097561,5.66964285714286,-73.982355,40.730324
