ctuniq,boroCT2000,ctrdlong,ctrdlat,popdens,povrate,unemp,busdens,subdens,subacc,intdens,landind,nonres,resid,ptrans,pwalk,propoa,propnonw,borocodenum
QN002900,4002900,-73.938116000,40.754229000,6317.6563563,0.2635036496,0.0799373041,0,9.1893183364,1,73.514546691,0.2734054827,0.9262025684,0.0737974316,0.6707746479,0.0897887324,0.072,0.6894545455,4
QN003000,4003000,-73.847502000,40.690536000,11471.45075,0.1037593985,0.0453781513,8.6251509401,0,0,94.876660342,0.3510329113,0.0972075321,0.9027924679,0.5193661972,0.1021126761,0.1022556391,0.4729323308,4
QN003100,4003100,-73.932490000,40.753015000,11607.563838,0.1683591662,0.0514285714,0,18.611807331,1,99.26297243,0.7699900597,0.7397967578,0.2602032422,0.516644474,0.1970705726,0.0502405131,0.5980758952,4
QN003200,4003200,-73.846376000,40.686560000,8480.9926321,0.1065956029,0.1342182891,22.600913077,0,0,163.85661981,0.9897438498,0.4493636736,0.5506363264,0.4086956522,0.0573913043,0.1072618254,0.4816788807,4
QN003400,4003400,-73.858891000,40.683322000,9567.265234,0.117481203,0.0600706714,40.142371611,0,0,147.18869591,0.99125962,0.4532550001,0.5467449999,0.4649681529,0.0101910828,0.0447552448,0.5361305361,4
QN003500,4003500,-73.942587000,40.757093000,2236.2751683,0.2161172161,0.1127819549,0,0,0,40.957420665,0.1504109,0.9608657885,0.0391342115,0.3962264151,0.1132075472,0.1904761905,0.4652014652,4
QN003600,4003600,-73.856977000,40.682572000,19698.372336,0.1778179626,0.0975039002,0,0,0,117.18246482,0.4173054734,0.118327848,0.881672152,0.4559491371,0.0726612171,0.1121356336,0.5696014277,4
QN003700,4003700,-73.941707000,40.763569000,2877.3122372,0.4563176895,0.208677686,0,0,0,12.464890558,0,1,0,0.6158038147,0.1280653951,0.0332129964,0.8844765343,4
QN003800,4003800,-73.846810000,40.684242000,13054.066078,0.1651624549,0.0531496063,0,0,0,87.80761936,0.9947060332,0.4636201746,0.5363798254,0.3758389262,0.0324384787,0.0977578475,0.4587443946,4
QN003900,4003900,-73.941286000,40.761336000,9919.9915293,0.2321547698,0.3863636364,0,0,0,72.795134638,0.6865472507,0.7799342554,0.2200657446,0.3910891089,0.1212871287,0.0787191461,0.599066044,4
